01.01.2023,Day-ahead Price,Currency,Year,Month,Day,Hour
20:00 - 21:00,155.3,EUR,2023,1,20,21
21:00 - 22:00,153.65,EUR,2023,1,20,22
22:00 - 23:00,147.55,EUR,2023,1,20,23
23:00 - 00:00,152.2,EUR,2023,1,20,24
00:00 - 01:00,147.86,EUR,2023,1,21,1
01:00 - 02:00,142.22,EUR,2023,1,21,2
02:00 - 03:00,135.88,EUR,2023,1,21,3
03:00 - 04:00,132.91,EUR,2023,1,21,4
04:00 - 05:00,134.84,EUR,2023,1,21,5
05:00 - 06:00,131.5,EUR,2023,1,21,6
06:00 - 07:00,140.77,EUR,2023,1,21,7
07:00 - 08:00,155.26,EUR,2023,1,21,8
08:00 - 09:00,171.84,EUR,2023,1,21,9
09:00 - 10:00,170.01,EUR,2023,1,21,10
10:00 - 11:00,156.94,EUR,2023,1,21,11
11:00 - 12:00,147.91,EUR,2023,1,21,12
12:00 - 13:00,137.02,EUR,2023,1,21,13
13:00 - 14:00,136.58,EUR,2023,1,21,14
14:00 - 15:00,135.9,EUR,2023,1,21,15
15:00 - 16:00,144.22,EUR,2023,1,21,16
16:00 - 17:00,173.92,EUR,2023,1,21,17
17:00 - 18:00,179.62,EUR,2023,1,21,18
18:00 - 19:00,159.41,EUR,2023,1,21,19
19:00 - 20:00,165.88,EUR,2023,1,21,20
20:00 - 21:00,147.74,EUR,2023,1,21,21
21:00 - 22:00,143.86,EUR,2023,1,21,22
22:00 - 23:00,132.58,EUR,2023,1,21,23
23:00 - 00:00,140,EUR,2023,1,21,24
00:00 - 01:00,122.94,EUR,2023,1,22,1
01:00 - 02:00,127,EUR,2023,1,22,2
02:00 - 03:00,130.99,EUR,2023,1,22,3
03:00 - 04:00,122.12,EUR,2023,1,22,4
04:00 - 05:00,121.68,EUR,2023,1,22,5
05:00 - 06:00,132.39,EUR,2023,1,22,6
06:00 - 07:00,127.6,EUR,2023,1,22,7
07:00 - 08:00,139.9,EUR,2023,1,22,8
08:00 - 09:00,150.71,EUR,2023,1,22,9
09:00 - 10:00,146.4,EUR,2023,1,22,10
10:00 - 11:00,153.1,EUR,2023,1,22,11
11:00 - 12:00,146.3,EUR,2023,1,22,12
